"week","alerts","city"
"2020-02-23T00:00:00.000Z",116829,"manila"
"2020-03-01T00:00:00.000Z",116611,"manila"
"2020-03-08T00:00:00.000Z",76430,"manila"
"2020-03-15T00:00:00.000Z",10598,"manila"
"2020-03-22T00:00:00.000Z",1761,"manila"
"2020-03-29T00:00:00.000Z",1484,"manila"
"2020-04-05T00:00:00.000Z",2187,"manila"
"2020-04-12T00:00:00.000Z",4214,"manila"
"2020-04-19T00:00:00.000Z",3917,"manila"
"2020-04-26T00:00:00.000Z",3244,"manila"
"2020-05-03T00:00:00.000Z",4127,"manila"
"2020-05-10T00:00:00.000Z",5241,"manila"
"2020-05-17T00:00:00.000Z",11163,"manila"
"2020-05-24T00:00:00.000Z",11343,"manila"
"2020-05-31T00:00:00.000Z",24954,"manila"
"2020-06-07T00:00:00.000Z",29961,"manila"
"2020-06-14T00:00:00.000Z",39512,"manila"
"2020-06-21T00:00:00.000Z",37467,"manila"
"2020-06-28T00:00:00.000Z",42938,"manila"
"2020-07-05T00:00:00.000Z",39827,"manila"
"2020-07-12T00:00:00.000Z",39047,"manila"
"2020-07-19T00:00:00.000Z",35095,"manila"
"2020-07-26T00:00:00.000Z",33460,"manila"
"2020-08-02T00:00:00.000Z",27395,"manila"
"2020-08-09T00:00:00.000Z",13663,"manila"
"2020-08-16T00:00:00.000Z",29416,"manila"
"2020-08-23T00:00:00.000Z",44701,"manila"
"2020-08-30T00:00:00.000Z",38156,"manila"
"2020-09-06T00:00:00.000Z",45580,"manila"
"2020-09-13T00:00:00.000Z",45009,"manila"
"2020-09-20T00:00:00.000Z",46064,"manila"
"2020-09-27T00:00:00.000Z",50550,"manila"
"2020-10-04T00:00:00.000Z",48347,"manila"
"2020-10-11T00:00:00.000Z",63207,"manila"
"2020-10-18T00:00:00.000Z",61594,"manila"
"2020-10-25T00:00:00.000Z",67498,"manila"
"2020-11-01T00:00:00.000Z",51105,"manila"
"2020-11-08T00:00:00.000Z",55781,"manila"
"2020-11-15T00:00:00.000Z",72508,"manila"
"2020-11-22T00:00:00.000Z",70865,"manila"
"2020-11-29T00:00:00.000Z",68945,"manila"
"2020-12-06T00:00:00.000Z",70242,"manila"
"2020-12-13T00:00:00.000Z",92109,"manila"
"2020-12-20T00:00:00.000Z",77733,"manila"
"2020-12-27T00:00:00.000Z",38783,"manila"
"2021-01-03T00:00:00.000Z",37733,"manila"
"2021-01-10T00:00:00.000Z",42060,"manila"
"2021-01-17T00:00:00.000Z",43261,"manila"
"2021-01-24T00:00:00.000Z",43617,"manila"
"2021-01-31T00:00:00.000Z",40694,"manila"
"2021-02-07T00:00:00.000Z",42611,"manila"
"2021-02-14T00:00:00.000Z",43394,"manila"
"2021-02-21T00:00:00.000Z",41408,"manila"
"2021-02-28T00:00:00.000Z",42187,"manila"
